daño,Predicción
postes sin energia,ejecutar
un camion revento el cable de internet,cancelar
sin luz publica,cancelar
un tercero se esta conectando a mi red,ejecutar
se organizo el dano q reporte ayer pero los cables q dan energia a la casa estan muy quemados se quemo la acomerida,cancelar
cuerda de alta tension caida entre los arboles,cancelar
se fue el servicio debido a las lluvias,ejecutar
variaciones de voltaje,cancelar
el cable que trae la energia del poste a la casa esta reventada,cancelar
seva y vuelve la energia en el cual primero se quemo la nevera y ahora tambien quemo el televisor y la olla arrocera y los bajones de energia son como cada 5 minutos vienen los de celcia no hicieron nada que ellos no eran vida caja sino de transformadores,ejecutar
pues que se va a reventar el cable de energia y nos va a dejar el dano,ejecutar
tengo bajones de energia constantemente,cancelar
cable danado por volqueta,ejecutar
es la segunda vez que nos pasa que la energia se pone intermitente hasta que luego se va definitivamente,cancelar
solicito revision por alto consumo,ejecutar
cayo un arbol sobre las cuerdas de energia y corto el suministro de aquella para varias casas del sector,ejecutar
variacion de voltaje que no alimenta completamente los electrodomesticos,cancelar
dano contador en mi predio,ejecutar
zona sin fluido electrico,cancelar
la luz esta llegando demasiado cara,cancelar
el poste frente a la direccion mencionada se encuentra sin energia,cancelar
fallo en el contador,ejecutar
es un poste donde esta echando chispa,ejecutar
no contamos con energia,ejecutar
dano en el contador,ejecutar
se estan presentando constantes fluctuaciones de voltaje,ejecutar
estan la cuerda de la luz muy colgante,ejecutar
no hay luz,cancelar
las luces suben y bajan la intensidad y ha danado estabilizadores en el sector,ejecutar
una rama cayo en las lineas y se revento conductor,ejecutar
cayo arbol y revento cables de energia y tambien afecto el cable del internet tambien de celsia esto es desde el sabado,cancelar
dano en la lampara del postel,cancelar
se revento el cable,ejecutar
no dentro fluido electrico a 220 solo esta a 110,cancelar
sin energia,cancelar
una mula paso y  arranco el cable,ejecutar
el poste que se encuentra fuera de mi casa cuenta con una lampara que ha dejado de funcionar hace 5 dias y se encuentra en una curva,ejecutar
no hay servicio de energia,ejecutar
el cable del poste se solto,ejecutar
dano de las canuelas del transformador frente al hotel guadaira en la esquina del coliseo,ejecutar
el consumo llega mas de lo usado,cancelar
cable ubicado en losa con signos visibles de malla expuesta en intemperie,ejecutar
me han llegado dos facturas cobrandome y la casa no esta habitada esta como la entrego la constructora,ejecutar
mi contador esta pintando y alumbrado,cancelar
poste caido,cancelar
se se calienta demasiado la caja  becquer donde conecta el contador,ejecutar
un carro que se quemo dano los cables,ejecutar
cuerda reventada,ejecutar
una rama cayo en las lineas y se revento conductor,ejecutar
sin luz,cancelar
no se la verdad,ejecutar
cuerda reventada,ejecutar
dano de energia de mi casa,ejecutar
se fue la energia,ejecutar
tenia energia pero de un momento a otro ya no,cancelar
reventada la acometida,cancelar
recibo de alto consumo,ejecutar
no hay energia,ejecutar
la luminaria de la calle no funciona desde el lunes,cancelar
el cable del poste no da energia esta usando,ejecutar
voltaje marcando por debajo de lo normal,ejecutar
desde el sabado hay alteracion en el voltaje no es constantes,ejecutar
el medidor se que no,cancelar
falla en el fluido electrico,ejecutar
hace mas de 8 dias estamos sin alumbrado publico,cancelar
hubo un bajon y ahora ya no hay energia en varios predios,ejecutar
los electrodomesticos presentan bajones de luz,ejecutar
sector sin servicio,cancelar
sin servicio de internet segundo piso,cancelar
la energia esta deficiente en la casa,cancelar
varias casas sin servicio,ejecutar
no,"Entrada inválida. Por favor, ingrese un texto coherente."
zona sin fluido electrico,cancelar
mi predio tiene variacion en el voltaje,ejecutar
no tengo energia danaron la cuerda,cancelar
no hay servicio de energia,ejecutar
la falla es que el pasado miercoles retiraron el trasformador sin celsia darme aviso y me dejaron sin el servicio de energia y hasta el momento no me han dado solucion y yo estoy al dia con mis facturas,ejecutar
hubo un corto en el poste de energia clase a,ejecutar
todo el sector sin servicio,cancelar
no tengo servicio en mi casa y la parte de arriba si,ejecutar
un camion revento el cable de internet,cancelar
no hay energia en alumbrado publico,cancelar
se esta registrando exceso de consumo de energia por lo que solicito la revision,cancelar
callo un rayo y quemo el medidor,cancelar
tolima,ejecutar
desde antier estos cables estan echando chispas y bajando la energia,ejecutar
estan manipulando las cuerdas del poste frente mi casa,ejecutar
no hay energia,ejecutar
dano en la lampara del postel,cancelar
se subio la energia,cancelar
varios locales sin energia,cancelar
biblioteca alejandro arce carrera 5 alteracion voltaje se genera chispa,cancelar
fallo en el contador,ejecutar
es estrato 2 y me llega el valor de la factura por ,ejecutar
el tubo del cable se partio,ejecutar
no tengo medidor,cancelar
mi reporte 354414276 dicen que le corresponde a los de la acometida,cancelar
no hay alumbrado publico por mi cuadra ya que 2 de las lamparas estan banadas no prenden,cancelar
no hay poste para acometidas cercanas,cancelar
solicito q vengan el sector a para rebicion del medidor de mi casa,cancelar
voltaje caido en mi vivienda,ejecutar
sube  y baja la energia,cancelar
sin luz,cancelar
la verdad es para regular la corriente que esta entrando ya que la bomba trabaja con 220 voltios,ejecutar
cortes momentaneos de energia hace mas de dos semanas se presenta en el sector,cancelar
voltaje bajo para linea 220v solo llega 27v,cancelar
ayer colocaron un contador y por la tempestad de ayer se revento un cable del poste,cancelar
estoy sin luz,cancelar
sector sin servicio de energia,cancelar
voltaje variable recibo altisimo,ejecutar
contador malo,ejecutar
hay una variacion de voltaje el dia de ayer vino un funcionario quien verifico y el voltaje estaba en 122 y al dia de hoy esta en 139140 variable,ejecutar
a pesar de haber revisado la falla hay zonas de la residencia a las que no les llega energia,ejecutar
un  ventarron revento la cometida,cancelar
corte energia velas caidas,ejecutar
ayer se fue la energia,cancelar
sector sin iluminacion publico,ejecutar
8 viviendas sin energia sector sin energia,cancelar
falla en el contador,ejecutar
aumento de consumo sin justificacion,cancelar
cortes momentaneos de energia hace mas de dos semanas se presenta en el sector,cancelar
el contador  danado,ejecutar
se me va la energia de la casa porque  esta el cable flojo del contador,ejecutar
una mula paso y  arranco el cable,ejecutar
parpadea la luz y se va y vuelve mas fuerte,ejecutar
el poste ,ejecutar
pensamos que a la casa le esta entrando menos voltaje debido a que la,cancelar
crea perdida de voltaje en mi casa puede provocar danos a mis electrodomesticos,ejecutar
variacion de voltaje,cancelar
se fue el servicio debido a las lluvias,ejecutar
es el poste de mitad de cuadra,ejecutar
contador no marca,ejecutar
acometida floja cuando pasan la mueven y me quedo sin energia,cancelar
hubo corto adentro con una extension  y los tacos no bajaron  no hay energia en la casa,ejecutar
no hay suministro de energia en mi propiedad,ejecutar
sector con variacion de voltaje,ejecutar
hubo un bajon y ahora ya no hay energia en varios predios,ejecutar
desprendimiento cable del poste por borrasca,ejecutar
el medidor se dano,cancelar
el wifi no funciona,cancelar
apartamento solo sin habitantes y llega el recibo costoso,ejecutar
sin energia,cancelar
acometida floja cuando pasan la mueven y me quedo sin energia,cancelar
no hay energia,ejecutar
el contador se quemo,ejecutar
la factura que me llega presenta un concepto que no entiendo la razon del mismo,cancelar
la energia va y vuelve,ejecutar
varia mucho la luz,ejecutar
llevo varios reportes y no me han enviado a revisar no soy el unico que tengo variacion en el voltaje deseo y necesito una pronta respuesta,ejecutar
consumos  muy altos,cancelar
estoy sin energia en una parte de la casa,cancelar
cajon de energia,ejecutar
la cometida que sale del poste al contador esta floja,ejecutar
se me revento la acometida,cancelar
se me estan danando los equipos,cancelar
cortes momentaneos de energia hace mas de dos semanas se presenta en el sector,cancelar
guadua sobre la red,ejecutar
el medidor quemado por polo tierra el contador,cancelar
sera que pueden venir revisar,cancelar
una varilla q sale con un cable del contador se cayo,ejecutar
solicitarle la poda de arboles porque estan tapando las luminarias del sector,ejecutar
estoy sin luz,cancelar
sin servicio,cancelar
crea perdida de voltaje en mi casa puede provocar danos a mis electrodomesticos,ejecutar
la lampara del poste esta danada,cancelar
el poste de la luz la farola esta rota estamos sin alumbrado,cancelar
tengo un negocio hace dos dias no lo he podido abrir  ayer fueron los de celsia quitaron la energia,ejecutar
desde las 5 am no hay servicio de internet,cancelar
esta suelto un cable,ejecutar
tenemos bajones de energia y cuando vuelve llega con mucha potencia y se no estan danando las neveras,ejecutar
sere entonces la cuerda que va del poste al contador,ejecutar
sin energia toda mi casa,ejecutar
toda la casa quedo sin energia,ejecutar
sin luz,cancelar
la energia esta oscilando y del medidor sale humo,cancelar
paso un carro perteneciente a su institucion y por descuido halo las redes y las rento sin percatarse y se fueron,cancelar
sin luz  en el poste diagonal a mi casa,ejecutar
no tengo servicio de energia en mi predio,ejecutar
las cuerdas del poste a la casa estan votando chispas de energia,ejecutar
sin energia,cancelar
sin iluminacion,ejecutar
cancelar internet,cancelar
sin energia el predio y cable reventado,ejecutar
un contador se quemo,ejecutar
variacion de voltaje,cancelar
sector sin energia,cancelar
se fue la energia por quema del contador,ejecutar
se prende la licuadora y el voltaje empieza a bajarse,ejecutar
un camion se llevo la cuerda y esta descolgada en la via,ejecutar
poste sin luz hace mas de 10 dias,ejecutar
las latas quedaron en el poste con el vendaval del  dia de ayer y los cables enredados,cancelar
sin servicio,cancelar
desde las 7 de la manana que me encuentro despierto no hay luz en ciertas casas del barrio y algunas si,ejecutar
se va la energia electrica,cancelar
puedo hablar con un asesor,ejecutar
la tapa de la caja del lector de electricidad fue violada y desaparecio,ejecutar
al parecer el dano viene de la acometida que esta del poste al contador y sucede que al conectar la nevera de la casa se baja el voltaje de la energia y pareciera que hiciera corto pero hay energia normal solo que la nevera el voltaje se dispara,cancelar
cayo un arbol y revento todas las cuerdas incluyendo la de internet tambien de celsia,cancelar
solicitud para retiro de sellos,cancelar
sin energia el predio y cable reventado,ejecutar
se revento el cable y esta peligroso y no hay energia,ejecutar
no hay energia,ejecutar
el medidor se que no,cancelar
en toda la carrera 14 se fue la energia,ejecutar
bajones de energia cada quince minutos,ejecutar
la energia varea se va y se viene,cancelar
ausencia de voltaje en la linea 2 y voltaje bajo en linea 3,cancelar
tengo videos referentes al tema,cancelar
no hay poste para acometidas cercanas,cancelar
se va la energia en cada instante,ejecutar
no hay energia,ejecutar
el contador parece q tiene un cable suelto por q marca muy rapido,ejecutar
un cable de una lampara esta en el cerco de una casa de bareque,cancelar
cuando conecto electrodomesticos,ejecutar
variacion de voltaje,cancelar
necesito una revision por elevacion de recibos,ejecutar
las casas tienen varios sectores y uno de ellos no tiene energia ya habia pasado y nos tuvieron todo un dia sin luz,ejecutar
pareciera q un vehiculo alto,cancelar
mi contador esta reportando alto consumo,ejecutar
no tenemos alumbrado publico desde hace varios dias,cancelar
una fase tiene 58 voltios y la otra frase tiene 160 voltios,ejecutar
linea caida en la finca del senor orlain  giraldo,ejecutar
variacion de voltaje,cancelar
vivienda sin energia,cancelar
por culpa de incendio en el transformador se revento el cable de energia que entra a mi casa,ejecutar
desconexion total de energia,cancelar
mi predio esta desocupado varios meses,ejecutar
esta la luz muy baja,cancelar
consumos  muy altos,cancelar
pague la factura de la luz por 127000 y volvio y me llego por lo mismo,ejecutar
poste echa chispas con ruido fuerte y no alumbran las bombillas,cancelar
el poste al frente de mi vivienda no tiene energia hace 3 dias,cancelar
las lamparas del barrio no prende,cancelar
corto en los cables del poste de la carrera 23a con 43 esquina,cancelar
variacion de voltaje,cancelar
no tengo servicio en mi casa y la parte de arriba si,ejecutar
se me cayo una linea,ejecutar
la energia es insuficiente,cancelar
es el poste de mitad de cuadra,ejecutar
sin servicio de energia,cancelar
hay dos lamparas que no prenden,cancelar
me quitaron la energia,ejecutar
poste sin luz,cancelar
todos los postes sobre la calle 26 se encuentran apagados a la hora y llevan mas de 3 dias asi,ejecutar
la acometida que lleva la energia hacia mi casa una rama de un arbol cayo y la descolgo,cancelar
variacion voltaje,cancelar
un cable que se desprende y esta en toda la entrada de nuestra casa tiene energia,cancelar
hace una semana paso ,cancelar
carro de la basura tumbo la acometida,cancelar
me esta llegando el recibo en 0 y hay consumo de energia,ejecutar
voltaje variable recibo altisimo,ejecutar
no hay alumbrado publico interno del condominio,cancelar
el contador se quemo,ejecutar
sin alumbrado publico hace dos semanas,cancelar
la lampara de alumbrado publico no sirve hace 8dias,cancelar
sin energia,cancelar
fluctuacion de voltaje en el sector quedando por minutos sin fluido electrico,ejecutar
el poste al frente de mi vivienda no tiene energia hace 3 dias,cancelar
cable del internet suelto en la calle,cancelar
el poste al frente de la casa calle 27 b ,ejecutar
lampara,cancelar
sube  y baja la energia,cancelar
sin energia,cancelar
hay un personal de funcionarios de una telefonica de un instaladores de internet que estan regando unas unas cables por los por la porteria y nosotros estamos en la residencia cuando de pronto un bajon de luz y una explosion fuerte salimos y el transformador esta echando bastante humo y los trabajadores ahi si se hacen los que no es con ellos es de una empresa cable mas yo no se entonces se fue toda la luz en todo el sector,cancelar
medidor de energia no esta funcionando,cancelar
hay tomas con energia y otros sin energia,ejecutar
prende y apaga el contador y genera un sonido,ejecutar
se salta el taco,ejecutar
no hay energia,ejecutar
los bombillos titilan,ejecutar
no hay energia,ejecutar
sin energia sin corriente,cancelar
variabilidad en la factura de la energia se incremento casi el doble en un mes pero de dia casi no hay nadie y de noche solo pasamos a lo mucho 2 horas con solo bombillos encendodos,cancelar
un camion revento el cable del internet celsia,cancelar
un carro que desconectar el cable de la energia del poste,cancelar
un bus muy grande paso y revento las cuerdas dejando sin energia la casa ,ejecutar
no funciona el internet,cancelar
sin internet,cancelar
no se la verdad,ejecutar
esta baja la luz conecto nevera y se ba,ejecutar
me quitaron la energia,ejecutar
alumbrado publico sin servicio,cancelar
predio sin servicio de energia,cancelar
prende y apaga el contador y genera un sonido,ejecutar
baja energia en la vivienda la energia es intermitente,cancelar
ok,"Entrada inválida. Por favor, ingrese un texto coherente."
0,"Entrada inválida. Por favor, ingrese un texto coherente."
toda la casa quedo sin energia,ejecutar
dano de energia,cancelar
no hay luz,cancelar
la energia es muy debil,cancelar
se cayo un arbol,cancelar
la tapa de la caja del lector de electricidad fue violada y desaparecio,ejecutar
dano contador,ejecutar
se baja el voltaje y se apaga los electrodomesticos,ejecutar
todo el sector sin energia una manzana completa,cancelar
dano taco casa,ejecutar
energia baja,ejecutar
linea que va al poste reventado,ejecutar
linea en corto,ejecutar
sin energia,cancelar
quemado,cancelar
numero de radicado,ejecutar
el aire acondicionado funciona a 220voltios y no esta prendiendo,ejecutar
unas guaduas caidas en las cuerdas principales,ejecutar
estoy sin luz,cancelar
torre de telecomunicaciones llamada el ramiro con falla de energia,cancelar
nos levantamos y no hay energia en la casa,ejecutar
esta baja la luz conecto nevera y se ba,ejecutar
luminaria del poste danada,cancelar
el medidor tiene un zumbido y no registra datos display danado,cancelar
cable colgando con posibilidad que otro vehiculo termino llevando el cableado,ejecutar
sobrevoltaje de mi casa 140 voltios,ejecutar
no hay conexion a internet,cancelar
no hay energia en el local,ejecutar
corto en los cables del poste de la carrera 23a con 43 esquina,cancelar
solicitud de visita tecnica,cancelar
el medidor esta danado,cancelar
me quitaron la energia,ejecutar
no hay luz,cancelar
camion revento linea de media tension,cancelar
esta tirando chispas el poste,ejecutar
se fue en todo el barrio,ejecutar
no hay luz,cancelar
el domingo se quemaron los cables del poste de alumbrado publico,cancelar
se nos reporta arbol de especie araucaria ubicado en la calle 11 ,ejecutar
el poste no da luz,ejecutar
se presenta una lectura alta de  consumo y se tiene apagado todo,ejecutar
en mi vivienda y algunas mas no tenemos energia electrica,ejecutar
se fue la luz,ejecutar
ayer la cuadrilla reviso el contador y escalo el caso al grupo a porque el contador se encuentra energizado y altero el polo a tierra,ejecutar
sector sin servicio,cancelar
poste secundario de madera en mal estado,cancelar
sin energia,cancelar
aumento de cobro,ejecutar
hay una variacion de voltaje el dia de ayer vino un funcionario quien verifico y el voltaje estaba en 122 y al dia de hoy esta en 139140 variable,ejecutar
variacion de voltaje,cancelar
paso un carro perteneciente a su institucion y por descuido halo las redes y las rento sin percatarse y se fueron,cancelar
sin servicio,cancelar
empty,ejecutar
robo de cable y no hay corriente,ejecutar
empty,ejecutar
altibajos energia,ejecutar
sin servicio de energia,cancelar
va y viene la energia,cancelar
se me quemo el contador,ejecutar
mira el cable de energia que esta por fuera esta caido,cancelar
por favor sin energia en el sector por favor ayuda,ejecutar
3 cuadrados sin energia desde hace 4 dias se robaron el cableado,cancelar
recibo de servicio publico por costo elevado,ejecutar
facturacion elevada,ejecutar
3,"Entrada inválida. Por favor, ingrese un texto coherente."
el contador echa humo,ejecutar
sector sin energia,cancelar
se baja la energia constantemente y en en dos predios que estan cerca,cancelar
no tengo servicio de internet,cancelar
el predio sin energia,cancelar
fue corte pero ayer fui a la oficina y hice un convenio para que recorte,ejecutar
no tengo servicio de energia,ejecutar
bajo voltaje,cancelar
sector sin energia,cancelar
el poste que se encuentra fuera de mi casa cuenta con una lampara que ha dejado de funcionar hace 5 dias y se encuentra en una curva,ejecutar
se cayo un cable de luz de alta energia y dejo sin luz las casas de la parte de arriba de la mia y esta botando chispas en el piso,ejecutar
se quemo el contador  por un rayo que cayo  cerca,ejecutar
cuerdas caidas varias casas afectadas,cancelar
conexion a internet intermitente,cancelar
me han llegado dos facturas cobrandome y la casa no esta habitada esta como la entrego la constructora,ejecutar
caida del cable que va del poste al contador de la casa hace ya 3 dias,cancelar
no le entra el suficiente amperaje al contador y mi casa esta con energia intermitente,ejecutar
otras no,cancelar
los electrodomesticos no me dejan funcionar no arrancan y los bombillos titilean,ejecutar
sin energia varias viviendas,ejecutar
un tronco de palma cayo en la linea de energia que entra para la casa,ejecutar
apartamento solo sin habitantes y llega el recibo costoso,ejecutar
se va la energia muy seguido en mi casase apaga el tv el mini componentey la nevera,cancelar
posesion de cable de otra vivienda por encima del zinc de mi vivienda,cancelar
1 huella a mano derecha subiendo,ejecutar
no tengo internet,cancelar
necesito reconexion de internet,cancelar
nos damos cuenta que toda la iluminacion parpadea,ejecutar
alteracion del consumo,ejecutar
un motor se prende y se apaga con frecuencia se puede quemar,ejecutar
el cobro de mi energia es muy alto,ejecutar
con los vientos la acometida se cayo con cableado y todo,cancelar
sin energia,cancelar
no hay conexion a cable,cancelar
necesito q el cable del poste hacia la casa este mas largo,ejecutar
cables del contador mal conectada ya llevamos dos dias y nada que solucionan y eso haciendo varias peticiones es el colmo,ejecutar
el poste al frente de la casa calle 27 b ,ejecutar
cable desprendido peligro de accidente,ejecutar
todo el sector sin servicio,cancelar
se sube y se baja la luz y hay tres casas que falla como la luz cuando se baja aca en mi casa en las otras tambien,ejecutar
solicito q vengan el sector a para rebicion del medidor de mi casa,cancelar
problema en bornera en poste,cancelar
el costo demasiado alto en el recibo,cancelar
no tenemos energia desde la madrugada,ejecutar
altroconsumo,cancelar
me quede sin energia,ejecutar
no hay falla pero se pueden llevar por delante el cable y dejar sin energia toda la cuadra,ejecutar
unas guaduas caidas en las cuerdas principales,ejecutar
baja y sube la energia,cancelar
no tenemos energia,ejecutar
un corto en un poste dentro del predio,cancelar
fue en hora de la tarde los vecinos me pusieron la,ejecutar
dano contador,ejecutar
la energia esta bonita no funciona la licuadora,ejecutar
el contador se salta la lectura ,ejecutar
alumbrado publico,cancelar
sin servicio de alumbrado,cancelar
no presenta numeracion y me llega el recibo muy caro,ejecutar
en la casa aumenta y merma la energia,ejecutar
se fue la energia en todo el sector  yo trabajo con energia y llego en todos lados menos en el local,ejecutar
caida del cable que va del poste al contador de la casa hace ya 3 dias,cancelar
sin energia en antena,cancelar
hay 2 bombillos del alumbrado publico que se apagan y prenden todo el tiempo,cancelar
el consumo de energia esta tocado por los apartamentos,ejecutar
linea reventada,ejecutar
la energia va y viene en repetidas ocasiones,ejecutar
contador danado y reventada la acometida,cancelar
servicio,cancelar
fallas del voltaje del poste energia a la casa,ejecutar
bajo voltaje,cancelar
el contador marca rapidamente diferentes cifras y el recibo me llego demasiado alto,ejecutar
sin energia local,ejecutar
contador no marca,ejecutar
estan manipulando las cuerdas del poste frente mi casa,ejecutar
no tengo internet,cancelar
son las lamparas de alumbrado publico,cancelar
falta una fase en el poste de energia,ejecutar
no tengo  internet,cancelar
en el poste que esta afuera de la casa lleva 8 dias sin alumbrar,cancelar
cable ubicado en losa con signos visibles de malla expuesta en intemperie,ejecutar
se me quemo el contador,ejecutar
casa sin servicio energia,cancelar
solicitarle la poda de arboles porque estan tapando las luminarias del sector,ejecutar
mi predio esta desocupado varios meses,ejecutar
no tenemos alumbrado publico,cancelar
es estrato 2 y me llega el valor de la factura por ,ejecutar
energia con voltaje variable,ejecutar
los electrodomesticos no funcionan,ejecutar
lamparas de postes malas,cancelar
dano del transformador,cancelar
transformador echando candela,ejecutar
alto consumo y no tengo electrodomesticos en casa,ejecutar
no tengo servicio de energia en mi predio,ejecutar
baja potencia,cancelar
no tengo energia en casa y en varias casa del sector esta igual,ejecutar
requiero dar de baja a 3 contadores y revision de la acometida o la caja donde se encuentran los cables,cancelar
esta muy oscuro en la noche,ejecutar
no hay servicio desde hace 3 dias,cancelar
bajones de energia cada quince minutos,ejecutar
no tenemos el servicio,cancelar
fluctuacion de voltaje,ejecutar
dano en los electrodomesticos,ejecutar
todos los postes con luz intermitente,ejecutar
no tiene iluminacion,ejecutar
linea que va al poste reventado,ejecutar
hay dos lamparas que no prenden,cancelar
linea reventada del poste al medidor,cancelar
cuadra sin energia,cancelar
dano contador,ejecutar
hay una carga alta en el contador lo que ha generado que se derrita un cable,ejecutar
a pesar de que el poste de energia no enciende y al interior de la casa no hubo nadie llego un consumo por casi un millon de pesos lo cual es imposible porque no hubo nadie en casa,cancelar
los aparatos electricos no funcionan,ejecutar
solicitud para retiro de sellos,cancelar
sin energia y ya pague el recibo,ejecutar
sin servicio,cancelar
linea reventada del poste,ejecutar
hubo corto adentro con una extension  y los tacos no bajaron  no hay energia en la casa,ejecutar
el cable se dana y necesitamos cambiar,ejecutar
farolas estan sin energia 3 postes danados,ejecutar
no tengo internet,cancelar
bajon de energia,ejecutar
se subio la energia,cancelar
la luz baja y sube,cancelar
los aparatos electricos no funcionan,ejecutar
linea reventada,ejecutar
no hay servicio en este momento y este es un almacen veterinario y manejamos vacunas,cancelar
no hay internet,cancelar
aumento sin razon de la factura de energia,cancelar
